UNITID	1705430.2871604306
OPEID	2032428.2676832394
opeid6	16121.271271143003
INSTNM	NaN
CITY	NaN
STABBR	NaN
INSTURL	NaN
NPCURL	NaN
HCM2	1.0
PREDDEG	1.9164035689773506
CONTROL	2.2164274730907225
LOCALE	19.589024390243903
HBCU	1.0
PBI	1.0
ANNHI	1.0
TRIBAL	1.0
AANAPII	1.0
HSI	1.0
NANTI	1.0
MENONLY	1.0
WOMENONLY	1.0
RELAFFIL	54.55834242093784
SATVR25	467.39200614911607
SATVR75	576.1729438893159
SATMT25	476.55893536121675
SATMT75	584.9148288973385
SATWR25	468.0668348045397
SATWR75	574.3568726355611
SATVRMID	521.8124519600308
SATMTMID	530.7718631178707
SATWRMID	521.2395964691046
ACTCM25	20.365126676602088
ACTCM75	25.390461997019376
ACTEN25	19.392274678111587
ACTEN75	25.56480686695279
ACTMT25	19.46655231560892
ACTMT75	25.19296740994854
ACTWR25	6.64
ACTWR75	8.456666666666667
ACTCMMID	23.12071535022355
ACTENMID	22.724463519313304
ACTMTMID	22.58490566037736
ACTWRMID	7.736666666666666
SAT_AVG	1056.6894366197182
SAT_AVG_ALL	1061.6276943174396
PCIP01	0.04433720190779015
PCIP03	0.02219647058823532
PCIP04	0.037464664310954056
PCIP05	0.015202533783783773
PCIP09	0.05377050359712233
PCIP10	0.06008033536585365
PCIP11	0.07062417061611372
PCIP12	0.6240323996655519
PCIP13	0.08116550539744849
PCIP14	0.0621345720720721
PCIP15	0.08754607013301088
PCIP16	0.015853746770025837
PCIP19	0.04347509191176466
PCIP22	0.04951994485294123
PCIP23	0.035413709160794365
PCIP24	0.18883759177679893
PCIP25	0.00898301886792453
PCIP26	0.058252962298024964
PCIP27	0.013893076374018572
PCIP29	0.036154545454545446
PCIP30	0.0462608178438662
PCIP31	0.04677917716204876
PCIP38	0.03084772497472192
PCIP39	0.3751186788154898
PCIP40	0.02046212574850302
PCIP41	0.02315778894472361
PCIP42	0.07583098676293623
PCIP43	0.082250688582852
PCIP44	0.040253007846556166
PCIP45	0.07347546804389926
PCIP46	0.07753370098039215
PCIP47	0.15754361445783135
PCIP48	0.07596758938869674
PCIP49	0.136653050397878
PCIP50	0.10180765957446804
PCIP51	0.44439306264501205
PCIP52	0.18516893362350417
PCIP54	0.023216703296703303
DISTANCEONLY	1.0
UGDS	2335.416690200508
UGDS_WHITE	0.5369390782735926
UGDS_BLACK	0.20431185606643143
UGDS_HISP	0.17106843321522153
UGDS_ASIAN	0.04232951598173506
UGDS_AIAN	0.02147420695690224
UGDS_NHPI	0.009351826753093716
UGDS_2MOR	0.03184789644012951
UGDS_NRA	0.03526415734147171
UGDS_UNKN	0.07121355587217588
PPTUG_EF	0.3138288968112488
CURROPER	1.0
NPT4_PUB	9583.515860634425
NPT4_PRIV	18071.81190826846
NPT41_PUB	8041.365484880083
NPT42_PUB	9117.599311136624
NPT43_PUB	11260.2312762133
NPT44_PUB	13433.660923501035
NPT45_PUB	14399.432304038004
NPT41_PRIV	16660.559080264
NPT42_PRIV	17702.05669450772
NPT43_PRIV	19959.01133786848
NPT44_PRIV	22511.21431101665
NPT45_PRIV	24753.512381809996
PCTPELL	0.5330050828098224
RET_FT4	0.7089414154652698
RET_FTL4	0.6908487205731871
RET_PT4	0.5272357314148678
RET_PTL4	0.5784084668192211
PCTFLOAN	0.588899827342648
UG25abv	0.4212269520694067
GRAD_DEBT_MDN_SUPP	17046.611093627067
GRAD_DEBT_MDN10YR_SUPP	189.25232870155423
RPY_3YR_RT_SUPP	0.5982686737796543
C150_4_POOLED_SUPP	0.47715097075295104
C200_L4_POOLED_SUPP	0.587888470756211
md_earn_wne_p10	33232.594038325056
gt_25k_p6	0.5048457670038804
